,highLoad,highLoad_SD,baseLoad,baseLoad_SD,Morning Rise Start,High Load Start,High Load Finish,Afternoon Fall Finish,highLoadDuration,riseTime,fallTime,Base To Peak Ratio,building_ID
0,0.7924128174781799,0.18933335945946292,0.1152210682630539,0.5402959059691388,5,6,94,95,22.0,0.25,0.25,0.14540535655359543,0
1,0.7909000515937805,0.1811660789981175,0.12739652395248413,0.48389224154669386,0,0,94,95,23.5,0.0,0.25,0.1610779057300114,0
2,0.7744844555854797,0.16960447657182603,0.10014727711677551,0.6709835331368281,0,0,94,95,23.5,0.0,0.25,0.1293083113476669,0
3,0.7665742039680481,0.19140227327915343,0.09508448839187622,0.7008762089775101,0,0,92,93,23.0,0.0,0.25,0.12403820517268473,0
4,0.8041868805885315,0.17907426295119552,0.12898914515972137,0.5204919760891327,0,1,95,96,23.5,0.25,0.25,0.16039697770911496,0
5,0.7995318174362183,0.17568148247216064,0.11327752470970154,0.5827871778809739,0,1,95,96,23.5,0.25,0.25,0.1416798209143667,0
6,0.7683408260345459,0.18685941793334998,0.1758301556110382,0.3807364928207874,0,1,95,96,23.5,0.25,0.25,0.22884395785462608,0
7,0.7394048571586609,0.18310839324458258,0.0924612432718277,0.6328931296836455,0,0,93,95,23.25,0.0,0.5,0.1250481956896145,0
8,0.780325174331665,0.17313893690070736,0.09949009865522385,0.6434633745053202,0,2,93,95,22.75,0.5,0.5,0.12749825576297136,0
9,0.7876014709472656,0.18225213716610564,0.13573472201824188,0.4868341793278584,0,1,92,95,22.75,0.25,0.75,0.17233934550044802,0
10,0.7609006762504578,0.18788569376211978,0.08625432103872299,0.7277899817212942,0,0,94,95,23.5,0.0,0.25,0.11335818685792777,0
11,0.7746850252151489,0.1981100646007735,0.0955238863825798,0.7397841619050123,5,6,92,93,21.5,0.25,0.25,0.12330674180264488,0
12,0.7782453298568726,0.18280712564114152,0.10298140347003937,0.6266661746948509,0,0,95,96,23.75,0.0,0.25,0.13232511589755216,0
13,0.7474247813224792,0.19846923058090593,0.11262426525354385,0.5950510754276231,1,2,95,96,23.25,0.25,0.25,0.15068307616756915,0
14,0.7619062066078186,0.19846252718036497,0.11396291106939316,0.5987440509163175,0,0,95,96,23.75,0.0,0.25,0.14957603715657103,0
15,0.792250394821167,0.18414891907434955,0.1275101751089096,0.5121544623429791,0,0,95,96,23.75,0.0,0.25,0.16094681169290198,0
16,0.7008779048919678,0.19195445871085265,0.13797393441200256,0.47523077943259917,0,0,95,96,23.75,0.0,0.25,0.19685873024242312,0
17,0.7968016266822815,0.17603787834528328,0.13876329362392426,0.4389921680556798,0,0,91,94,22.75,0.0,0.75,0.17415036437827838,0
18,0.719050407409668,0.20090919309423738,0.11393657326698303,0.5979605563790632,0,1,94,95,23.25,0.25,0.25,0.15845422253139677,0
19,0.7423561811447144,0.1934033177916396,0.09302294254302979,0.7708007350707967,0,0,90,91,22.5,0.0,0.25,0.1253076958281512,0
20,0.740488588809967,0.19514179241857482,0.09373824298381805,0.7545478086822908,0,0,95,96,23.75,0.0,0.25,0.1265897198152155,0
21,0.7917938828468323,0.18747345039711769,0.1297183334827423,0.5938272306941214,0,1,95,96,23.5,0.25,0.25,0.16382841076815383,0
22,0.7214869856834412,0.20118376216268552,0.07627420127391815,0.753032083498171,1,2,94,96,23.0,0.25,0.5,0.10571805560936914,0
23,0.7805309891700745,0.1835271368294963,0.13581839203834534,0.45082322704034333,0,0,95,96,23.75,0.0,0.25,0.1740076869757071,0
24,0.7513857483863831,0.20930930122183908,0.1099102646112442,0.5998980741878371,0,0,95,96,23.75,0.0,0.25,0.14627674912290903,0
25,0.7457253932952881,0.20350486476272933,0.11370983719825745,0.5990969262232244,1,3,95,96,23.0,0.5,0.25,0.15248218475675707,0
26,0.7420232892036438,0.1971139846824084,0.10912266373634338,0.5815126330413712,0,0,94,95,23.5,0.0,0.25,0.14706096873786306,0
27,0.7158725261688232,0.19975345427126676,0.1035490483045578,0.6688245847387394,0,0,95,96,23.75,0.0,0.25,0.1446473282872403,0
28,0.747154951095581,0.21683252653731339,0.10879774391651154,0.703282555569267,0,0,93,96,23.25,0.0,0.75,0.14561603822202793,0
29,0.7414806485176086,0.18687554667487033,0.14279332756996155,0.45215277576315144,0,1,94,96,23.25,0.25,0.5,0.19257863014421003,0
30,0.7592859864234924,0.1780476115900321,0.11215853691101074,0.5488638181375644,0,0,95,96,23.75,0.0,0.25,0.14771579999693846,0
31,0.7444678544998169,0.20276874528926836,0.13062651455402374,0.5713957261056305,0,0,95,96,23.75,0.0,0.25,0.1754629347183665,0
32,0.7433765530586243,0.1940513506121696,0.10900937765836716,0.5962795684858258,0,1,95,96,23.5,0.25,0.25,0.14664086082598093,0
33,0.7759683728218079,0.1726688468312503,0.11819806694984436,0.5892725265243747,1,2,94,96,23.0,0.25,0.5,0.15232330477596304,0
34,0.7538655996322632,0.20623654011309192,0.10879063606262207,0.5879910546985433,0,1,95,96,23.5,0.25,0.25,0.1443103865141085,0
35,0.7682662010192871,0.1817169391082635,0.1292186826467514,0.5885459388155913,0,2,95,96,23.25,0.5,0.25,0.168195193899344,0
36,0.7723157405853271,0.1772197203307971,0.10295022279024124,0.5730014919221624,0,0,95,96,23.75,0.0,0.25,0.1333006921653788,0
37,0.7276597619056702,0.20156316234173935,0.10021432489156723,0.5861777360743685,0,0,93,94,23.25,0.0,0.25,0.13772140516484746,0
38,0.7618887424468994,0.19033705168336518,0.13690800964832306,0.459131847534666,0,0,92,96,23.0,0.0,1.0,0.17969554085892667,0
