,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,building_ID
172,0,2,1,2,2,4,0
173,0,0,1,0,1,3,0
174,1,1,3,3,4,5,0
175,1,2,2,4,4,4,0
176,1,1,3,3,4,3,0
177,0,1,1,1,2,3,0
178,1,2,2,2,4,4,0
179,1,2,3,3,5,5,0
180,1,1,2,2,1,3,0
181,1,1,2,2,2,4,0
182,0,1,2,2,1,4,0
183,1,2,3,4,5,6,0
184,0,0,3,3,5,4,0
185,1,1,2,3,4,4,0
186,0,1,2,3,3,4,0
187,0,1,3,4,4,4,0
188,1,0,1,1,4,3,0
189,0,0,1,0,1,1,0
190,0,1,2,2,3,4,0
191,1,2,2,3,3,4,0
192,1,1,2,3,4,5,0
193,1,2,3,4,4,4,0
194,1,1,1,2,3,3,0
195,0,0,0,1,1,1,0
196,0,0,0,1,1,1,0
197,0,1,2,3,3,5,0
198,0,0,0,0,0,1,0
199,1,2,3,4,4,4,0
200,0,1,0,2,1,2,0
201,0,1,1,1,2,3,0
202,0,1,1,2,3,2,0
203,1,1,1,3,3,3,0
204,1,2,2,3,4,4,0
205,1,2,2,3,3,4,0
206,1,2,3,4,2,3,0
207,0,1,2,2,2,3,0
208,0,1,3,3,3,4,0
209,1,2,3,3,4,5,0
210,1,1,1,1,2,2,0
211,0,1,1,2,1,4,0
212,0,0,1,0,3,2,0
213,1,2,3,4,5,3,0
214,0,0,1,0,1,0,0
215,1,1,2,2,2,3,0
216,0,0,0,0,0,0,0
217,0,1,1,2,2,4,0
218,1,1,3,2,4,3,0
219,1,2,2,4,4,4,0
220,1,2,2,4,5,5,0
221,0,0,1,0,2,0,0
222,1,1,2,2,1,4,0
223,0,1,2,2,4,3,0
224,0,1,1,2,1,3,0
225,1,2,3,3,4,6,0
226,0,1,1,2,3,4,0
227,1,2,3,4,5,6,0
228,0,0,1,2,2,3,0
229,0,1,1,1,2,3,0
230,1,2,2,3,4,5,0
231,1,2,3,3,3,4,0
232,0,1,2,3,1,3,0
233,0,0,1,2,2,3,0
234,0,0,0,2,1,1,0
235,1,1,2,2,4,3,0
236,0,0,0,0,0,0,0
237,1,2,2,3,3,3,0
238,0,1,1,2,2,4,0
239,1,2,2,3,5,5,0
240,0,0,0,1,0,1,0
241,0,0,0,2,3,4,0
242,1,1,2,2,2,4,0
243,1,2,3,3,4,4,0
244,1,1,1,2,1,1,0
245,1,2,2,4,4,4,0
246,1,0,1,2,2,3,0
247,0,0,1,1,1,2,0
248,1,2,2,2,4,5,0
249,0,0,0,1,2,2,0
250,0,1,2,1,2,3,0
251,1,1,3,4,4,3,0
252,0,1,1,2,3,2,0
253,1,1,1,2,3,3,0
254,0,1,1,1,4,2,0
255,0,0,0,0,2,1,0
256,1,2,2,3,3,5,0
257,0,0,0,1,2,2,0
258,0,1,1,3,4,3,0
259,0,0,2,2,1,4,0
260,1,2,3,4,5,5,0
261,0,0,2,0,1,1,0
262,0,0,0,1,1,3,0
263,1,0,1,1,1,2,0
264,1,1,1,2,3,3,0
265,1,2,2,3,3,4,0
266,1,2,3,3,4,5,0
267,1,1,2,2,4,4,0
268,1,2,3,3,2,4,0
269,1,2,3,3,4,5,0
270,0,0,0,1,0,1,0
271,1,2,1,2,2,4,0
272,0,1,1,3,2,3,0
273,1,1,2,2,3,3,0
274,0,0,1,1,0,1,0
275,1,2,2,1,2,1,0
276,0,1,1,2,2,3,0
277,1,1,2,3,4,5,0
278,1,2,2,4,4,5,0
279,1,1,2,2,1,4,0
280,0,1,1,1,4,3,0
281,0,1,2,3,2,4,0
282,0,1,0,2,1,3,0
283,0,1,1,1,1,2,0
284,1,1,2,2,3,4,0
285,1,2,1,3,4,4,0
286,1,0,1,0,1,1,0
287,0,2,3,4,3,4,0
288,0,0,0,1,0,2,0
289,1,0,0,1,2,2,0
290,1,2,3,4,5,6,0
291,1,1,2,1,2,1,0
292,1,2,2,3,3,4,0
293,0,0,1,1,1,2,0
294,0,1,2,2,2,3,0
295,0,0,1,2,2,3,0
296,0,1,1,3,3,3,0
297,1,1,1,2,1,3,0
298,1,1,1,2,2,3,0
299,0,0,0,0,1,1,0
300,0,2,2,1,2,2,0
301,0,1,2,1,0,1,0
302,1,1,2,2,4,4,0
303,0,0,0,1,0,0,0
304,1,2,1,2,3,1,0
305,1,1,2,3,3,4,0
306,1,1,2,2,2,3,0
307,0,1,1,1,4,2,0
308,1,1,2,1,4,5,0
309,0,0,0,0,1,3,0
310,1,1,3,3,5,4,0
311,1,2,3,4,4,4,0
312,0,0,1,1,2,3,0
313,1,1,0,1,3,2,0
314,0,0,1,0,0,0,0
315,0,1,0,1,2,3,0
316,0,0,1,1,3,3,0
317,1,1,1,1,3,2,0
318,0,0,0,1,2,3,0
319,1,1,3,3,2,4,0
320,1,1,1,2,1,1,0
321,1,0,1,1,2,3,0
322,0,0,0,1,1,2,0
323,0,0,1,2,2,3,0
324,0,0,1,2,2,4,0
325,1,2,2,3,3,5,0
326,1,2,2,3,4,3,0
327,1,2,2,4,3,4,0
328,1,1,1,2,3,4,0
329,0,1,2,2,2,3,0
330,1,2,3,4,5,4,0
331,1,2,3,3,4,5,0
332,0,0,0,0,1,0,0
333,0,0,1,1,3,3,0
334,1,2,2,3,3,5,0
335,0,0,0,0,2,2,0
336,0,1,1,3,3,2,0
337,1,1,2,2,1,3,0
338,0,0,2,2,3,4,0
339,1,1,2,2,2,3,0
340,0,0,0,1,1,0,0
341,1,2,2,3,4,5,0
342,1,1,3,3,2,3,0
343,1,1,2,2,3,4,0
344,0,1,0,1,2,2,0
345,1,2,2,3,4,5,0
346,0,0,0,1,2,2,0
347,1,1,1,1,2,2,0
348,1,2,3,3,5,6,0
349,0,1,0,2,1,3,0
350,0,1,1,1,0,2,0
351,0,1,3,3,3,4,0
352,1,2,3,4,4,4,0
353,1,2,3,4,4,4,0
354,0,2,1,1,2,3,0
355,0,1,1,2,2,3,0
356,1,1,3,4,5,5,0
357,0,0,1,1,3,3,0
358,0,0,1,0,0,2,0
359,1,2,2,3,4,5,0
360,0,0,0,1,3,3,0
361,0,1,2,1,1,2,0
362,1,1,2,3,3,5,0
363,0,1,2,3,2,4,0
364,1,2,2,4,5,5,0
365,1,2,3,4,5,4,0
366,0,1,1,2,2,3,0
367,1,2,2,4,5,5,0
368,1,1,2,3,3,2,0
369,0,1,1,2,1,3,0
370,1,2,2,3,2,4,0
371,1,2,3,1,4,3,0
372,0,0,1,2,3,2,0
373,0,1,0,1,2,3,0
374,0,1,1,1,1,3,0
375,1,1,1,2,2,4,0
376,0,1,1,0,2,2,0
377,0,1,1,2,1,2,0
378,0,0,0,1,1,0,0
379,0,0,1,0,1,1,0
380,0,1,3,2,1,4,0
381,1,2,3,4,5,4,0
382,0,1,0,1,1,1,0
383,0,1,1,1,2,3,0
