,highLoad,highLoad_SD,baseLoad,baseLoad_SD,Morning Rise Start,High Load Start,High Load Finish,Afternoon Fall Finish,highLoadDuration,riseTime,fallTime,Base To Peak Ratio,building_ID
0,0.7400375604629517,0.18844838056761684,0.1065429151058197,0.5280893678774217,0,0,94,95,23.5,0.0,0.25,0.14396960478488247,0
1,0.7613880634307861,0.2010467456794175,0.11032016575336456,0.5918575785028111,0,0,95,96,23.75,0.0,0.25,0.14489347949095238,0
2,0.7456910610198975,0.1896986720082618,0.10872890055179596,0.6832968258273325,0,0,95,96,23.75,0.0,0.25,0.1458095801806785,0
3,0.778698742389679,0.1768754424716273,0.1232328861951828,0.5296469089127849,0,0,95,96,23.75,0.0,0.25,0.15825489305017293,0
4,0.7720862627029419,0.19926989765976005,0.09724922478199005,0.7137410486976894,0,0,95,96,23.75,0.0,0.25,0.12595642414558336,0
5,0.7511952519416809,0.17645635372311197,0.11342082917690277,0.5469628168690632,0,0,95,96,23.75,0.0,0.25,0.15098714865906554,0
6,0.7422102093696594,0.20111187393799065,0.1067546159029007,0.570845083338905,0,1,94,96,23.25,0.25,0.5,0.1438333972710571,0
7,0.7785082459449768,0.19151988779592322,0.11915647983551025,0.5147462200754934,0,0,95,96,23.75,0.0,0.25,0.15305744088924134,0
8,0.7884104251861572,0.18724728463759735,0.11695139110088348,0.4953180394917484,0,0,95,96,23.75,0.0,0.25,0.14833820985214555,0
9,0.7171090841293335,0.18925508769194224,0.12969431281089783,0.5414408894303738,0,2,95,96,23.25,0.5,0.25,0.1808571606206385,0
10,0.7785801291465759,0.1858340312011408,0.09418829530477524,0.6761829207200054,0,1,93,94,23.0,0.25,0.25,0.12097444023907691,0
11,0.7449052929878235,0.20953922392247307,0.08891189843416214,0.7057298861453919,0,1,95,96,23.5,0.25,0.25,0.11936000357513304,0
12,0.76967853307724,0.20026731845109097,0.10394083708524704,0.5730561750185635,0,0,95,96,23.75,0.0,0.25,0.135044479764406,0
13,0.780639111995697,0.18371151804721572,0.12073881179094315,0.5226106735893448,0,0,95,96,23.75,0.0,0.25,0.154666618589319,0
14,0.7781781554222107,0.19965002926316341,0.12264024466276169,0.6023487143005116,0,2,93,95,22.75,0.5,0.5,0.15759918703477563,0
15,0.7447370290756226,0.20266300343492002,0.11240547895431519,0.5786942473185845,1,2,94,95,23.0,0.25,0.25,0.15093311406018625,0
16,0.760399580001831,0.1781089710526951,0.11555923521518707,0.5339365360554137,0,0,95,96,23.75,0.0,0.25,0.15197172414917537,0
17,0.8022477626800537,0.1846935216832978,0.09198427200317383,0.6987582132396776,0,0,93,94,23.25,0.0,0.25,0.11465818451881216,0
18,0.7786973118782043,0.17206397888364025,0.12236803770065308,0.4335025474976802,0,0,95,96,23.75,0.0,0.25,0.15714454876632808,0
19,0.7230497598648071,0.2013135695844993,0.0812583640217781,0.6703369873943651,0,1,93,95,23.0,0.25,0.5,0.11238281032963963,0
20,0.7270498871803284,0.22111551743488395,0.1008278876543045,0.8005646983016932,0,2,94,96,23.0,0.5,0.5,0.1386808380444689,0
21,0.7527318596839905,0.1940630482284661,0.10091301798820496,0.7402419583240675,0,0,94,95,23.5,0.0,0.25,0.13406237120157227,0
22,0.7538118362426758,0.16654012014361821,0.14272965490818024,0.48518279362212474,0,0,95,96,23.75,0.0,0.25,0.18934387607868639,0
23,0.6946473717689514,0.19578136266009075,0.13706862926483154,0.5072648643477429,0,0,95,96,23.75,0.0,0.25,0.19732116586834553,0
24,0.7587425112724304,0.19862967667372083,0.10263220965862274,0.7074946014762039,0,3,94,96,22.75,0.75,0.5,0.13526619127549072,0
25,0.758746862411499,0.1910439084783097,0.11356193572282791,0.6715063779255053,0,0,95,96,23.75,0.0,0.25,0.1496703859333242,0
26,0.7583913207054138,0.19699786500698108,0.13688835501670837,0.450658918129387,0,0,93,95,23.25,0.0,0.5,0.1804983143654418,0
27,0.7362563014030457,0.197521726870823,0.12721265852451324,0.4793588499697262,0,0,95,96,23.75,0.0,0.25,0.1727831168060506,0
28,0.7549956440925598,0.20081489098405467,0.1187666803598404,0.6330128601230293,0,3,95,96,23.0,0.75,0.25,0.15730776897737972,0
29,0.7595977783203125,0.19846191945722264,0.13142520189285278,0.4812310284727674,0,0,94,95,23.5,0.0,0.25,0.17301946588557884,0
30,0.7548660039901733,0.20297594466443736,0.08771038800477982,0.6742965195638673,0,0,94,96,23.5,0.0,0.5,0.11619332112076623,0
31,0.7785340547561646,0.17918583157359944,0.0890498161315918,0.7070744433764745,2,3,95,96,23.0,0.25,0.25,0.11438140128562782,0
32,0.7347520589828491,0.20649090126188702,0.0961194559931755,0.6849329912909413,0,1,94,95,23.25,0.25,0.25,0.13081889981531739,0
33,0.7858941555023193,0.16411742225096845,0.14639794826507568,0.5273521568308125,0,0,95,96,23.75,0.0,0.25,0.18628201678316672,0
34,0.7218128442764282,0.19569096144429277,0.09740199893712997,0.7737281397069932,0,1,95,96,23.5,0.25,0.25,0.13494079484657734,0
35,0.7882234454154968,0.18360582629037156,0.08259095251560211,0.7596651201560283,0,3,95,96,23.0,0.75,0.25,0.10478114168764148,0
36,0.7529179453849792,0.1795106970331464,0.1330610066652298,0.4268585407163366,0,0,95,96,23.75,0.0,0.25,0.17672710217737408,0
37,0.744379460811615,0.19724517090165722,0.08219345659017563,0.662409118568751,0,1,93,95,23.0,0.25,0.5,0.11041875940606705,0
38,0.7635281085968018,0.21253652260178008,0.09663191437721252,0.6236034004137022,0,0,95,96,23.75,0.0,0.25,0.1265597340676834,0
